M, u(M), chi(M), m(M)
710, -0.52, 0, 0
711, -0.44, 0.36, -0.12
712, -0.36, 0.04, 0.04
713, -0.76, 4, 0.4
714, -0.6, 1, 0.2
715, -0.44, 0.64, 0.16
716, -0.36, 0.04, -0.04
717, -0.36, 0.04, 0.04
718, -0.6, 1.44, -0.24
719, -0.6, 1.44, -0.24
720, -0.68, 1, -0.2
721, -0.6, 3.24, -0.36
722, -0.52, 0.04, -0.04
723, -0.44, 1.44, -0.24
724, -0.36, 4.84, -0.44
725, -0.52, 4, -0.4
726, -0.52, 4, -0.4
727, -0.6, 0.64, -0.16
728, -0.52, 0.36, -0.12
729, -0.52, 0.64, 0.16
730, -0.44, 0.04, 0.04
731, -0.52, 0.36, 0.12
732, -0.44, 0.04, 0.04
733, -0.44, 0.36, -0.12
734, -0.6, 0.04, 0.04
735, -0.28, 0.16, -0.08
736, -0.28, 0.04, 0.04
737, -0.36, 1.96, -0.28
738, -0.28, 0.64, -0.16
739, -0.2, 1.44, -0.24
740, -0.36, 0.36, -0.12
741, -0.36, 0.36, -0.12
742, -0.44, 0.04, 0.04
743, -0.44, 1, -0.2
744, -0.36, 1.96, -0.28
745, -0.6, 0.64, -0.16
746, -0.44, 1.44, 0.24
747, -0.28, 0.64, 0.16
748, -0.44, 0, 0
749, -0.28, 1.44, 0.24
750, -0.52, 2.56, 0.32
751, -0.44, 4, 0.4
752, -0.28, 0.04, 0.04
753, -0.28, 0.04, -0.04
754, -0.6, 0.04, -0.04
755, -0.52, 4, -0.4
756, -0.52, 3.24, -0.36
757, -0.76, 9, -0.6
758, -0.44, 2.56, -0.32
759, -0.52, 0.16, 0.08
760, -0.36, 1, 0.2
761, -0.6, 1.96, 0.28
762, -0.44, 0.04, -0.04
763, -0.52, 1.44, 0.24
764, -0.44, 1.96, 0.28
765, -0.44, 1.96, 0.28
766, -0.2, 0, 0
767, -0.44, 0, 0
768, -0.2, 0.16, 0.08
769, -0.6, 6.76, 0.52
770, -0.84, 14.44, 0.76
771, -0.52, 10.24, 0.64
772, -0.6, 6.76, 0.52
773, -0.44, 0.64, 0.16
774, -0.36, 0.16, 0.08
775, -0.44, 1.96, -0.28
776, -0.44, 0.64, -0.16
777, -0.52, 0, 0
778, -0.52, 0.16, 0.08
779, -0.6, 0.04, 0.04
780, -0.52, 1.96, -0.28
781, -0.36, 1.96, -0.28
782, -0.52, 0.04, -0.04
783, -0.52, 0.64, -0.16
784, -0.6, 4.84, -0.44
785, -0.44, 2.56, -0.32
786, -0.52, 2.56, -0.32
787, -0.28, 0.64, -0.16
788, -0.12, 1.96, -0.28
789, -0.28, 0.36, -0.12
790, -0.44, 0.36, -0.12
791, -0.52, 0.16, 0.08
792, -0.68, 2.56, 0.32
