M, u(M), chi(M), m(M)
599, -0.52, 1.96, -0.28
600, -0.2, 0.04, -0.04
601, -0.2, 0.04, -0.04
602, -0.44, 4, -0.4
603, -0.36, 0.64, -0.16
604, -0.36, 0.36, -0.12
605, -0.44, 0.36, -0.12
606, -0.6, 1, -0.2
607, -0.36, 1.44, -0.24
608, -0.2, 0.16, -0.08
609, -0.44, 1.96, -0.28
610, -0.6, 1.44, -0.24
611, -0.6, 2.56, -0.32
612, -0.44, 0.04, 0.04
613, -0.52, 0.36, 0.12
614, -0.28, 0.36, 0.12
615, -0.28, 0.36, 0.12
616, -0.2, 0.04, -0.04
617, -0.36, 0.04, -0.04
618, -0.36, 0.16, -0.08
619, -0.44, 1, -0.2
620, -0.52, 2.56, -0.32
621, -0.44, 0.36, -0.12
622, -0.44, 2.56, -0.32
623, -0.36, 1.44, -0.24
624, -0.44, 0.04, 0.04
625, -0.52, 0.04, -0.04
626, -0.52, 0.64, -0.16
627, -0.36, 0.36, -0.12
628, -0.52, 1, -0.2
629, -0.44, 0.64, -0.16
630, -0.6, 0.36, -0.12
631, -0.6, 0, 0
632, -0.52, 0.64, 0.16
633, -0.44, 0.64, -0.16
634, -0.44, 5.76, -0.48
635, -0.6, 1.44, -0.24
636, -0.52, 0.04, 0.04
637, -0.36, 0.36, 0.12
638, -0.44, 0.04, 0.04
639, -0.28, 1.44, -0.24
640, -0.44, 0.64, -0.16
641, -0.52, 0.64, -0.16
642, -0.44, 0.64, -0.16
643, -0.52, 0.04, -0.04
644, -0.52, 0, 0
645, -0.36, 1, -0.2
646, -0.52, 1, -0.2
647, -0.52, 2.56, -0.32
648, -0.6, 3.24, -0.36
649, -0.44, 1.44, -0.24
650, -0.36, 0.64, -0.16
651, -0.36, 0.04, 0.04
652, -0.44, 2.56, 0.32
653, -0.44, 4, 0.4
654, -0.04, 1, 0.2
655, -0.12, 1.44, 0.24
656, -0.2, 0.16, 0.08
657, -0.44, 1.96, 0.28
658, -0.52, 0, 0
659, -0.28, 0.36, 0.12
660, -0.52, 4.84, 0.44
661, -0.52, 3.24, 0.36
662, -0.44, 2.56, 0.32
663, -0.52, 1.44, 0.24
664, -0.44, 0, 0
665, -0.28, 2.56, -0.32
666, -0.44, 1.44, -0.24
667, -0.52, 0.16, -0.08
668, -0.44, 0.36, 0.12
669, -0.52, 1.44, 0.24
670, -0.6, 0.36, -0.12
671, -0.68, 0.16, 0.08
672, -0.52, 0.64, -0.16
673, -0.36, 2.56, -0.32
674, -0.52, 1.96, -0.28
675, -0.6, 0.36, -0.12
676, -0.52, 0.64, 0.16
677, -0.52, 0.36, -0.12
678, -0.44, 1.44, -0.24
679, -0.36, 1.44, -0.24
680, -0.28, 0.04, -0.04
681, -0.52, 0.16, -0.08
682, -0.52, 1, -0.2
683, -0.36, 0, 0
684, -0.52, 0.16, -0.08
685, -0.44, 1.44, -0.24
686, -0.44, 1.44, -0.24
687, -0.36, 0.16, -0.08
688, -0.44, 1, -0.2
689, -0.68, 0.04, -0.04
690, -0.6, 0, 0
691, -0.44, 0.16, 0.08
692, -0.6, 0.04, -0.04
693, -0.36, 0.16, 0.08
694, -0.36, 1.96, 0.28
695, -0.28, 1, 0.2
696, -0.36, 0.36, 0.12
697, -0.44, 0.16, 0.08
698, -0.44, 0.04, 0.04
699, -0.52, 0.04, -0.04
700, -0.44, 0.16, 0.08
701, -0.36, 0.04, 0.04
702, -0.28, 1.44, 0.24
703, -0.44, 2.56, 0.32
704, -0.52, 4, 0.4
705, -0.68, 5.76, 0.48
706, -0.68, 9, 0.6
707, -0.6, 4, 0.4
708, -0.6, 1.96, 0.28
709, -0.52, 1, 0.2
710, -0.52, 2.56, 0.32
711, -0.36, 0.64, 0.16
712, -0.44, 2.56, 0.32
713, -0.44, 0.16, 0.08
714, -0.44, 0.16, -0.08
715, -0.6, 0, 0
716, -0.52, 0.16, 0.08
717, -0.52, 1.96, -0.28
718, -0.44, 0, 0
719, -0.52, 1, -0.2
720, -0.36, 0.04, -0.04
721, -0.52, 0.04, 0.04
722, -0.44, 1, 0.2
723, -0.44, 0.64, 0.16
724, -0.52, 1.44, 0.24
725, -0.36, 1, 0.2
726, -0.52, 0, 0
727, -0.44, 0.36, 0.12
728, -0.6, 0.04, 0.04
729, -0.6, 0, 0
730, -0.44, 0, 0
731, -0.52, 1.44, 0.24
732, -0.6, 3.24, 0.36
